customer_id,customer_name,segment,industry,country,years_as_customer,latest_revenue_eur,ebitda_eur,ebitda_margin_pct,equity_ratio_pct,debt_to_ebitda,cash_buffer_months,years_in_operation,employee_count,b2b_invoicing_pct,export_sales_pct,has_tax_arrears,latest_financials_available,payment_delays_12m,existing_products,requested_product_interest,relationship_note,receivables_days,largest_customer_share_pct
C001,North Harbor Test Oy,SME,Wholesale distribution,Finland,4,4200000,310000,7.4,29.0,2.1,2.8,7,22,88,12,no,yes,minor,Transaction account; corporate card,FlexLine Demo,Seasonal inventory swings.,41,18
C002,Blue Timber Sample Ltd,SME,Wood products manufacturing,Finland,2,5600000,420000,7.5,31.0,3.2,2.1,9,34,76,35,no,yes,none,Transaction account,AssetGrow Demo,Planning CNC equipment purchase.,37,24
C003,Aurora Mock Services Oy,SME,Business services,Finland,3,2100000,95000,4.5,17.0,3.8,1.4,5,19,92,5,no,yes,minor,Transaction account; payroll service,FlexLine Demo,Low equity ratio despite stable billings.,46,21
C004,Riverstone Demo Logistics Ltd,Mid-market,Logistics,Finland,5,8800000,610000,6.9,27.0,4.1,1.8,11,48,95,18,no,yes,repeated,Transaction account; leasing,InvoiceBridge Demo,Payment discipline has been uneven.,52,27
C005,Polar Lab Sample Oy,SME,Industrial technology,Finland,1,1600000,-120000,-7.5,36.0,0.0,4.6,1,12,68,42,no,yes,none,Transaction account,FlexLine Demo,Young company with growth plan.,49,33
C006,Cedar Fleet Mock Ab,Mid-market,Transport equipment services,Finland,6,7300000,890000,12.2,34.0,2.9,3.0,13,40,81,9,no,yes,none,Transaction account; term loan,AssetGrow Demo,Considering fleet renewal investment.,39,16
C007,Bright Forge Test Ltd,SME,Metal components,Finland,4,6400000,540000,8.4,28.0,3.4,2.3,8,29,84,26,yes,yes,minor,Transaction account; leasing,AssetGrow Demo,Financials look solid but tax arrears flag is open.,44,22
C008,Harbor Foods Demo Oy,SME,Food wholesaling,Finland,7,5100000,260000,5.1,26.0,3.6,1.9,10,25,94,8,no,yes,none,Transaction account; overdraft,InvoiceBridge Demo,Large B2B customer base and standard invoice cycles.,43,19
C009,Summit Retail Sample Oy,SME,Retail,Finland,3,3900000,150000,3.8,24.0,4.8,1.1,6,31,18,2,no,yes,minor,Transaction account,InvoiceBridge Demo,Mostly consumer-facing revenue.,12,9
C010,Maple Works Mock Ltd,SME,Light manufacturing,Finland,2,2800000,180000,6.4,22.0,3.1,2.0,4,17,73,14,no,no,none,Transaction account,FlexLine Demo,Latest statements not yet submitted.,40,28
